# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	5015
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	啊	c=9 d=1.71725 t=5015
da lian mao 	大臉貓	c=1 d=0.0116786 t=5015
da man guan 	大滿貫	c=1 d=0.694197 t=5015
da man guan de kai shi 	大滿貫的開始	c=1 d=0.364219 t=5015
da sa 	搭撒	c=1 d=0.38868 t=5015
da shi 	大勢	c=1 d=0.0152985 t=5015
da si 	大四	c=1 d=0.133989 t=5015
da wen ti 	大問題	c=0 d=0.0767206 t=5015
da wen ti mei you 	大問題沒有	c=1 d=0.771052 t=5015
da ye 	大業	c=1 d=0.509156 t=5015
da yi 	大一	c=1 d=0.0550232 t=5015
da zhao 	大招	c=0 d=0.0878095 t=5015
dai biao 	代表	c=0 d=0.00212797 t=5015
dai biao yi ge shu ju ku 	代表一個數據庫	c=1 d=0.0213864 t=5015
dai kuan 	貸款	c=0 d=0.0282239 t=5015
dai li 	代理	c=7 d=4.0164 t=5015
dai li dui xiang 	代理對象	c=9 d=3.31206 t=5015
dai li lei 	代理類	c=3 d=0.902021 t=5015
dai li mo shi 	代理模式	c=1 d=0.228779 t=5015
dai li shi li diao yong de cheng xu 	代理實例調用的程序	c=1 d=0.341298 t=5015
dai ma 	代碼	c=14 d=5.56934 t=5015
dai ma ce shi 	代碼測試	c=1 d=0.116484 t=5015
dai ma de chong yong xing 	代碼的重用性	c=1 d=0.366045 t=5015
dai ma fu shen 	代碼複審	c=1 d=0.278037 t=5015
dai ma rong yu 	代碼冗餘	c=1 d=0.293758 t=5015
dai ma shi xian 	代碼實現	c=1 d=0.157237 t=5015
dai ma yan zheng 	代碼驗證	c=1 d=0.631284 t=5015
dai ti 	代替	c=1 d=0.540641 t=5015
dan 	但	c=0 d=0.0115325 t=5015
dan bu hui bai fei 	但不會白費	c=2 d=0.232971 t=5015
dan chun 	單純	c=1 d=0.034562 t=5015
dan dian 	單點	c=0 d=1.36812e-12 t=5015
dan dian deng lu 	單點登錄	c=1 d=1.37498e-11 t=5015
dan ge 	單個	c=1 d=0.375311 t=5015
dan li 	單例	c=5 d=0.284833 t=5015
dan shi 	但是	c=4 d=1.44928 t=5015
