# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	173558
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
ba zhe ge zi duan 	把這個字段	c=1 d=2.94708e-39 t=131593
ba zhe liang ge 	把這兩個	c=1 d=1.4504e-51 t=173558
ba zhu 	霸主	c=1 d=4.30143e-17 t=173558
ba zi 	八字	c=1 d=7.98465e-59 t=131593
bai 	掰	c=0 d=0.1 t=134240
bai 	擺	c=2 d=8.39716e-34 t=173558
bai 	白	c=10 d=0.0123908 t=173558
bai 	百	c=0 d=0.1 t=149549
bai bing 	百病	c=1 d=3.55759e-48 t=173558
bai cai 	白菜	c=0 d=2.07821e-195 t=131593
bai che 	掰扯	c=2 d=1.99501 t=134246
bai chi 	白池	c=1 d=4.46237e-08 t=173558
bai chi cun 	白池村	c=1 d=6.48236e-48 t=131593
bai chi xiao xue 	白池小學	c=2 d=0.00273944 t=173558
bai de 	白的	c=1 d=4.77358e-07 t=131593
bai du 	百度	c=41 d=0.477616 t=173558
bai du bai ke 	百度百科	c=1 d=2.87806e-113 t=131593
bai du dao 	百度到	c=1 d=1 t=132148
bai du di tu 	百度地圖	c=1 d=0.000116223 t=173558
bai du fan yi 	百度翻譯	c=1 d=0.0223708 t=173558
bai du fu wu 	百度服務	c=1 d=1 t=164073
bai du wang pan 	百度網盤	c=7 d=0.00105529 t=173558
bai du wang pan de 	百度網盤的	c=1 d=1 t=162023
bai du wen ku 	百度文庫	c=6 d=0.000889368 t=173558
bai du wen ku jiao ben 	百度文庫腳本	c=1 d=1.01401e-46 t=173558
bai du yi bo 	百度一波	c=1 d=0.00927901 t=173558
bai du yi xia 	百度一下	c=8 d=0.102798 t=173558
bai du yu 	百度與	c=1 d=1 t=166584
bai du yun 	百度雲	c=3 d=0.149874 t=173558
bai du yun lian jie 	百度雲鏈接	c=1 d=0.965605 t=173558
bai du yun pan 	百度雲盤	c=1 d=2.17835e-42 t=131593
bai du yun xia zai 	百度雲下載	c=1 d=1.69853e-56 t=173558
bai fen 	百分	c=3 d=7.8524e-39 t=173558
bai fen bi 	百分比	c=33 d=1.21271 t=173558
bai fen bi ji suan 	百分比計算	c=1 d=0.00431784 t=173558
bai fen bi you hui 	百分比優惠	c=4 d=5.88686e-32 t=173558
bai fen bi you hui xin xi 	百分比優惠信息	c=1 d=7.69691e-39 t=173558
bai fen zhi 	百分之	c=2 d=2.01712e-49 t=173558
bai gei 	敗給	c=2 d=3.12637e-116 t=131593
bai gong li 	百公里	c=4 d=1.27761e-29 t=131593
bai gu 	白骨	c=1 d=1 t=155287
bai hui 	百匯	c=2 d=5.4563e-19 t=131593
bai jin 	白金	c=0 d=5.90933e-19 t=173558
bai jin fen duan 	白金分段	c=1 d=5.93895e-18 t=173558
bai ke 	百科	c=1 d=2.1345e-38 t=173558
bai kui 	敗潰	c=1 d=2.37777e-190 t=131593
bai lao shi 	白老師	c=1 d=0.117655 t=173558
